Sex,year,date,all_2534,HS_2534,SC_2534,BAp_2534,BAo_2534,GD_2534,White_2534,Black_2534,Hisp_2534,NE_2534,MA_2534,Midwest_2534,South_2534,Mountain_2534,Pacific_2534,poor_2534,mid_2534,rich_2534,all_3544,HS_3544,SC_3544,BAp_3544,BAo_3544,GD_3544,White_3544,Black_3544,Hisp_3544,NE_3544,MA_3544,Midwest_3544,South_3544,Mountain_3544,Pacific_3544,poor_3544,mid_3544,rich_3544,all_4554,HS_4554,SC_4554,BAp_4554,BAo_4554,GD_4554,White_4554,Black_4554,Hisp_4554,NE_4554,MA_4554,Midwest_4554,South_4554,Mountain_4554,Pacific_4554,poor_4554,mid_4554,rich_4554,work_2534,nowork_2534,work_HS_2534,work_SC_2534,work_BAp_2534,work_BAo_2534,work_GD_2534,nowork_HS_2534,nowork_SC_2534,nowork_BAp_2534,nowork_BAo_2534,nowork_GD_2534,work_White_2534,work_Black_2534,work_Hisp_2534,nowork_White_2534,nowork_Black_2534,nowork_Hisp_2534,work_poor_2534,work_mid_2534,work_rich_2534,nowork_poor_2534,nowork_mid_2534,nowork_rich_2534,nokids_all_2534,kids_all_2534,nokids_HS_2534,nokids_SC_2534,nokids_BAp_2534,nokids_BAo_2534,nokids_GD_2534,kids_HS_2534,kids_SC_2534,kids_BAp_2534,kids_BAo_2534,kids_GD_2534,nokids_poor_2534,nokids_mid_2534,nokids_rich_2534,kids_poor_2534,kids_mid_2534,kids_rich_2534
Men,2003,1/1/2003,0.407329746,0.403300096,0.394663245,0.426582492,0.447879055,0.366576779,0.380288457,0.556734227,0.386226525,0.467259608,0.500619884,0.392125501,0.36611665,0.355502323,0.448020119,0.571418098,0.371776046,0.314335599,0.180870017,0.195576864,0.17307396,0.165089413,0.174220933,0.148494811,0.164068093,0.305985035,0.167907351,0.200396233,0.213431882,0.169803014,0.164712174,0.154266278,0.20620232,0.324676833,0.153965827,0.088486167,0.104794237,0.117391811,0.097735898,0.094476701,0.103858638,0.080864916,0.095124375,0.188358846,0.102918527,0.108641543,0.127691361,0.096553482,0.09439799,0.091070879,0.123446536,0.224318758,0.080089705,0.034318073,0.365899948,0.504418251,0.359402741,0.348546511,0.392125454,0.414352286,0.324805661,0.487632917,0.516041988,0.527413103,0.553564555,0.467003108,0.343411911,0.482965256,0.361346483,0.478612015,0.670122301,0.44382828,0.543765947,0.356507733,0.275836898,0.597285681,0.420745179,0.464262324,0.629798488,0.060004312,0.65067879,0.623741784,0.607925768,0.627214101,0.549993296,0.079273849,0.056096579,0.02248956,0.026193044,0.013380113,0.749086985,0.618095983,0.511294632,0.144776437,0.04962232,0.020295646
Men,2004,1/1/2004,0.410666674,0.411501021,0.39420297,0.42607306,0.447594979,0.368690957,0.384354092,0.566588808,0.392210014,0.501443042,0.494711912,0.393987982,0.370884911,0.366630254,0.448724581,0.568108211,0.376527529,0.318145788,0.187378008,0.207814067,0.173799496,0.168449042,0.180802866,0.145811762,0.169316127,0.302972226,0.187688976,0.209806766,0.213796001,0.17083359,0.174413495,0.180802044,0.20994891,0.343096751,0.158468011,0.088201503,0.10895909,0.120770514,0.098568149,0.102278459,0.109322407,0.091415778,0.099906819,0.193309016,0.100783864,0.121484085,0.127506421,0.105187767,0.09473067,0.104311719,0.127311551,0.227238253,0.086085658,0.035769249,0.370094605,0.50348336,0.368663348,0.353478888,0.388467845,0.410897195,0.325698517,0.490700084,0.500093961,0.534598543,0.559089185,0.477502899,0.347587422,0.507883371,0.36830829,0.477980178,0.658441895,0.44801809,0.551823891,0.359811145,0.275813008,0.583382534,0.428142106,0.479944682,0.631764823,0.064330123,0.652846497,0.630288387,0.605647867,0.626280328,0.547513222,0.090142245,0.051255848,0.025622122,0.029325023,0.016852518,0.738992377,0.621681227,0.519876506,0.156383316,0.050979074,0.024793118
Men,2005,1/1/2005,0.423207171,0.430145922,0.408744151,0.427055891,0.450246533,0.363342147,0.398222338,0.566881319,0.403624332,0.497328562,0.509783292,0.407957575,0.385847654,0.386340286,0.454430187,0.58415093,0.39060141,0.326089004,0.188733623,0.210310162,0.177923827,0.165810059,0.178241709,0.143466662,0.173165182,0.303663879,0.182925694,0.206487369,0.217950672,0.174050958,0.172117607,0.181729019,0.21690749,0.342035074,0.163020594,0.0865277,0.11593673,0.131328164,0.106881838,0.102260495,0.109737391,0.091020781,0.106272571,0.199817584,0.110514987,0.120331978,0.136120511,0.111328486,0.105114942,0.106608897,0.131425439,0.2456834,0.090880338,0.035211332,0.379477441,0.521655036,0.376170835,0.368330452,0.395554038,0.417308334,0.33197439,0.526733317,0.514607493,0.518035651,0.551684943,0.439997635,0.357704056,0.50975856,0.37364027,0.501758716,0.653293293,0.470197736,0.562674304,0.372619333,0.280380468,0.603513454,0.44598935,0.494594413,0.641291614,0.070424218,0.665361206,0.641495146,0.607899445,0.631419909,0.539746343,0.100479073,0.057540163,0.021581937,0.024957923,0.013313066,0.750873517,0.6296566,0.531519817,0.174229807,0.057616021,0.021771151
Men,2006,1/1/2006,0.465537599,0.481784448,0.443697633,0.459119279,0.479152233,0.403085413,0.434208611,0.626639026,0.448673806,0.535545901,0.545334633,0.441284783,0.43458625,0.423388681,0.504679327,0.602822186,0.41372181,0.431817567,0.215135956,0.251299715,0.194755153,0.175839348,0.187435256,0.154896853,0.1927604,0.356275616,0.211226551,0.241217108,0.251172552,0.202947966,0.196855536,0.197431236,0.240165406,0.35359105,0.175135381,0.153750401,0.13607668,0.161624637,0.120370159,0.11130046,0.119618149,0.09825038,0.122717527,0.244421712,0.131105583,0.153109911,0.160819674,0.128631339,0.123452403,0.126115659,0.152024328,0.262322764,0.099146713,0.082708984,0.415032804,0.570020605,0.418900066,0.400859496,0.42359106,0.443174909,0.366275967,0.582434499,0.548048628,0.56255232,0.588897442,0.497630196,0.388516613,0.54957175,0.417964432,0.54262203,0.715271029,0.516482801,0.578668074,0.391907157,0.343856981,0.627766464,0.481128374,0.616678481,0.666898975,0.077646071,0.688264886,0.658701112,0.639175609,0.659425813,0.580222491,0.108941379,0.063588951,0.026650844,0.030397623,0.017102746,0.757396876,0.642782502,0.613883112,0.188768241,0.060444477,0.023534569
Men,2007,1/1/2007,0.477148872,0.49405234,0.461619937,0.463117962,0.487877729,0.394979708,0.4462286,0.641036661,0.456701148,0.545722707,0.55382608,0.456121043,0.44809376,0.43254663,0.51323348,0.618274705,0.41583461,0.443881539,0.218490343,0.255883842,0.199145758,0.177887501,0.191429408,0.15291712,0.193944094,0.354254249,0.225940731,0.232916187,0.250646284,0.205381878,0.200467284,0.213610911,0.246207382,0.363607893,0.178636669,0.152667871,0.139036815,0.163670204,0.124416816,0.113783361,0.123464371,0.098252727,0.12412328,0.254996681,0.134421881,0.148361845,0.161818884,0.131484963,0.127571226,0.127435837,0.157402007,0.267804285,0.101937815,0.084223389,0.424125805,0.58465358,0.426545289,0.414336964,0.430367398,0.453166379,0.363456327,0.599581037,0.573696451,0.557301053,0.594566053,0.471230944,0.398634385,0.554554101,0.425564338,0.555538344,0.741823338,0.525002097,0.594774245,0.390929352,0.353301854,0.643908911,0.491358815,0.627634835,0.681733794,0.082047173,0.705724341,0.682897478,0.641412368,0.66433054,0.574391459,0.112105345,0.07322766,0.027145861,0.031717826,0.016227721,0.775867347,0.652340857,0.624517776,0.191428959,0.061155801,0.030958356
Men,2008,1/1/2008,0.491055797,0.509858484,0.478350178,0.473916636,0.500064351,0.401475165,0.458493301,0.645825069,0.480974559,0.564393768,0.570839865,0.468301805,0.456630643,0.460349454,0.530112232,0.64142816,0.430316485,0.455909607,0.224386468,0.266318214,0.206590864,0.17956761,0.191859966,0.157151306,0.19722216,0.368253197,0.234086817,0.229469348,0.261485819,0.208276323,0.203133709,0.221934854,0.260750926,0.370800279,0.185620792,0.155358036,0.148460773,0.178946707,0.131140606,0.118893521,0.129514904,0.101624145,0.132769671,0.270798434,0.142900373,0.155635401,0.179059204,0.140190455,0.135337625,0.141169923,0.163688903,0.282440525,0.109651014,0.088280337,0.437520141,0.628785383,0.440276827,0.43404022,0.437579032,0.464511267,0.360887732,0.634814981,0.61535512,0.629579519,0.658372805,0.558390623,0.410463343,0.56924079,0.445111367,0.602490098,0.754242624,0.575898342,0.619811804,0.403374579,0.365089032,0.668841901,0.542980929,0.681512925,0.6938533,0.088148552,0.716399325,0.697868376,0.654683273,0.681012968,0.578174396,0.124578403,0.078465143,0.027147136,0.032809048,0.013144921,0.791183368,0.665426932,0.63570487,0.216686102,0.065368851,0.030042479
Men,2009,1/1/2009,0.514548589,0.535954478,0.500170552,0.496657634,0.526263453,0.414529926,0.481377258,0.665879167,0.50711815,0.577598653,0.594811204,0.502744703,0.47677001,0.474612534,0.552406801,0.651931033,0.468790398,0.468573484,0.228925242,0.27855486,0.209376088,0.174791976,0.186926895,0.153475521,0.200847037,0.376714145,0.240091271,0.238769815,0.26815066,0.211852161,0.211473718,0.220075209,0.258228098,0.386875543,0.187239632,0.154129878,0.15355426,0.185293138,0.139253025,0.117139091,0.124808772,0.104632084,0.135670174,0.28186122,0.153851397,0.155435846,0.177208425,0.143741096,0.142832532,0.145500661,0.173549884,0.295116358,0.112289849,0.093015678,0.457157317,0.633159325,0.463123667,0.448866922,0.458526454,0.488587227,0.374381665,0.635285667,0.624870475,0.639133742,0.668642974,0.559958683,0.429924542,0.584729894,0.468364324,0.60732364,0.758784252,0.582864885,0.633675788,0.441934486,0.368710959,0.66839444,0.556104063,0.69202381,0.712180353,0.095718975,0.744326894,0.707174033,0.671204943,0.697263286,0.593489917,0.133109295,0.089650806,0.029931782,0.035665566,0.016681307,0.807016912,0.695138797,0.644141433,0.222786085,0.074652321,0.031016987
Men,2010,1/1/2010,0.523711212,0.547987737,0.50844198,0.502879896,0.531443537,0.425512516,0.491109934,0.67551205,0.513769862,0.598497721,0.598259307,0.505679764,0.496166018,0.468655814,0.555076993,0.662610131,0.475097616,0.478376404,0.233811338,0.282825108,0.217912436,0.177818626,0.193380888,0.15017107,0.202866647,0.383325751,0.247216935,0.247713082,0.272532202,0.219264792,0.218148338,0.214894422,0.260487896,0.386759792,0.195412865,0.152640579,0.158537318,0.19246567,0.141825312,0.119236627,0.129550551,0.102135512,0.139522501,0.289871857,0.159779409,0.17221785,0.18509042,0.149946069,0.146752989,0.147988839,0.17490299,0.297251557,0.123284313,0.089933896,0.464152721,0.634846971,0.473834121,0.456481637,0.460777159,0.489143085,0.383212235,0.640281159,0.616330979,0.647691749,0.678600325,0.56663786,0.436843582,0.591264496,0.474609103,0.607765397,0.759829342,0.587406061,0.651143698,0.449711187,0.371186643,0.671626323,0.549919112,0.702440661,0.714368144,0.099109158,0.7446008,0.712266836,0.673396249,0.700234657,0.59644336,0.140904316,0.091128309,0.030276789,0.035723566,0.017586188,0.809940144,0.692264369,0.651999297,0.223740359,0.080232481,0.032188222
Men,2011,1/1/2011,0.536361584,0.564067847,0.521647486,0.511097027,0.541831493,0.427973935,0.501257444,0.695413641,0.528107653,0.597228042,0.608421276,0.520184281,0.509217432,0.489811161,0.565957524,0.675853677,0.4871016,0.492053288,0.237806634,0.293602276,0.220432218,0.175449657,0.19021154,0.150309673,0.204903886,0.384891264,0.255979564,0.247873157,0.279330521,0.222179917,0.22305453,0.213802986,0.265062736,0.396345033,0.197984743,0.152992982,0.163154545,0.199635587,0.145202915,0.121080172,0.130005609,0.106138487,0.143826022,0.293115235,0.163326168,0.165630909,0.184191951,0.154479248,0.154388786,0.153294498,0.180491154,0.307052548,0.126310879,0.092667004,0.47214965,0.659608909,0.485985281,0.461505444,0.467432958,0.498041071,0.384379126,0.664091879,0.648711412,0.66373829,0.695526364,0.578744292,0.44138092,0.617690949,0.484844918,0.636480956,0.774266129,0.609564247,0.65915343,0.455728388,0.382587263,0.689277014,0.584147261,0.722179601,0.726246797,0.104734219,0.761693827,0.71990494,0.683764198,0.708183164,0.611974625,0.147369591,0.102419851,0.030067077,0.037102775,0.014757303,0.818795396,0.704436124,0.666662115,0.239814681,0.08368864,0.034257801
Men,2012,1/1/2012,0.547199095,0.573685854,0.531713919,0.525877166,0.558182258,0.441757109,0.514680313,0.687588522,0.541941491,0.617957651,0.631109106,0.522749544,0.514979942,0.500736434,0.585786461,0.686924159,0.499677973,0.502350505,0.243212458,0.301249159,0.230547393,0.176079125,0.193059238,0.146821829,0.208631582,0.398028265,0.264692094,0.254063394,0.286368244,0.226957275,0.228485144,0.229988392,0.265542882,0.405535952,0.205942625,0.154864957,0.16283209,0.198208931,0.147038001,0.121745504,0.131056428,0.106462968,0.143927984,0.287029622,0.164398676,0.167265107,0.182599578,0.156360218,0.15150111,0.154652895,0.182822964,0.301499398,0.127046502,0.094263833,0.485995476,0.673387627,0.493765479,0.476658787,0.486702285,0.518771233,0.402170334,0.683576907,0.655600615,0.672332152,0.707911367,0.583773326,0.458040888,0.60738045,0.498930157,0.651415611,0.776722064,0.63147764,0.667805653,0.468906433,0.400206942,0.703715293,0.602694799,0.725626045,0.732289945,0.108765348,0.765117275,0.728164363,0.692886173,0.720446905,0.615873841,0.155860083,0.1001138,0.036479976,0.044527087,0.019242941,0.825191339,0.71068317,0.674714191,0.250936459,0.087732258,0.034300482
